country, latitude, longitude
Abkhazia - Embassy, 55.7069358, 37.5900201
Afghanistan - Embassy, 55.7566567, 37.554039
Albania - Embassy, 55.72755, 37.6135472
Algeria - Embassy, 55.7669881, 37.6142043
Angola - Embassy, 55.7194566, 37.5104966
Argentina - Embassy, 55.730934, 37.6215783
Armenia - Embassy, 55.7602558, 37.632699
Australia - Embassy, 55.7526122, 37.6401675
Austria - Embassy, 55.7437117, 37.5928169
Azerbaijan - Embassy, 55.7603818, 37.6029835
Bahrain - Embassy, 55.7513097, 37.5628498
Bangladesh - Embassy, 55.7401662, 37.5763256
Belarus - Embassy, 55.758302, 37.6358794
Belgium - Embassy, 55.7537263,37.5904052
Benin - Embassy, 55.7695035, 37.6069422
Bolivia - Embassy, 55.712126, 37.6141904
Bosnia and Herzegovina - Embassy, 55.7212751, 37.5130876
Brazil - Embassy, 55.758277, 37.5858013
Brunei - Embassy, 55.741942, 37.6041992
Bulgaria - Embassy, 55.7134629, 37.5076502
Burkina Faso - Embassy, 55.7287236, 37.6141404
Burundi - Embassy, 55.7279318, 37.6103753
Cambodia - Embassy, 55.746007, 37.5933292
Cameroon - Embassy, 55.7370336, 37.622395
Canada - Embassy, 55.746703,37.5928112
Cape Verde - Consulate, 55.7454851, 37.4235662
Chad - Embassy, 55.7289694, 37.6170481
Chile - Embassy, 55.7437526, 37.585122
China - Embassy, 55.7094369, 37.5140158
Colombia - Embassy, 55.7389169, 37.5777855
Congo (Democratic Republic) - Embassy, 55.6616079, 37.4890339
Congo (Republic) - Embassy, 55.7290842, 37.6168004
Costa Rica - Embassy, 55.745808, 37.4240233
Cote d'Ivoire - Embassy, 55.7383656, 37.5973258
Croatia - Embassy, 55.7386232, 37.5969221
Cuba - Embassy, 55.732033 ,37.6216403
Cyprus - Embassy, 55.7540061, 37.5932966
Czech Republic - Embassy, 55.770105, 37.5862252
Denmark - Embassy, 55.743734, 37.5898573
Djibouti - Embassy, 55.7713629, 37.5987529
Dominican Republic - Embassy, 55.7581723, 37.6436844
Ecuador - Embassy, 55.7649919, 37.6653198
Egypt - Embassy, 55.7391084, 37.5896022
El Salvador - Embassy, 55.7385328, 37.5476926
Equatorial Guinea - Embassy, 55.732449,37.6196473
Eritrea - Embassy, 55.728725, 37.6141323
Estonia - Embassy, 55.7551513, 37.5996068
Ethiopia - Embassy, 55.783371, 37.6378503
European Union - Delegation, 55.739948, 37.6156813
Finland - Embassy, 55.7391176, 37.5884828
France - Embassy, 55.732021, 37.6114958
Gabon - Embassy, 55.7447823, 37.5849159
Gambia - Embassy, 55.7286548, 37.5985202
Germany - Embassy, 55.7176234, 37.4468995
