name,Snippet,description,longitude,latitude,altitude
Aeroport (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Aeroport_%28Moscow_Metro%29"">Aeroport (Moscow Metro)</a>",37.5329,55.8003,0
Akademicheskaya (Kaluzhsko–Rizhskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Akademicheskaya_%28Kaluzhsko%E2%80%93Rizhskaya_line%29"">Akademicheskaya (Kaluzhsko–Rizhskaya line)</a>",37.5733,55.6877,0
Aleksandrovsky Sad (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Aleksandrovsky_Sad_%28Moscow_Metro%29"">Aleksandrovsky Sad (Moscow Metro)</a>",37.6085,55.7525,0
Alekseyevskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Alekseyevskaya_%28Moscow_Metro%29"">Alekseyevskaya (Moscow Metro)</a>",37.639,55.8088,0
Alma-Atinskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Alma-Atinskaya_%28Moscow_Metro%29"">Alma-Atinskaya (Moscow Metro)</a>",37.766,55.6326,0
Altufyevo (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Altufyevo_%28Moscow_Metro%29"">Altufyevo (Moscow Metro)</a>",37.587,55.898,0
Andronovka (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Andronovka_%28Moscow_Central_Circle%29"">Andronovka (Moscow Central Circle)</a>",37.738,55.7473,0
Annino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Annino_%28Moscow_Metro%29"">Annino (Moscow Metro)</a>",37.5966,55.5828,0
Arbatskaya (Arbatsko–Pokrovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Arbatskaya_%28Arbatsko%E2%80%93Pokrovskaya_line%29"">Arbatskaya (Arbatsko–Pokrovskaya line)</a>",37.6061,55.7522,0
Arbatskaya (Filyovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Arbatskaya_%28Filyovskaya_line%29"">Arbatskaya (Filyovskaya line)</a>",37.6007,55.7518,0
Aviamotornaya (Bolshaya Koltsevaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Aviamotornaya_%28Bolshaya_Koltsevaya_line%29"">Aviamotornaya (Bolshaya Koltsevaya line)</a>",37.718611,55.753055,0
Aviamotornaya (Kalininsko–Solntsevskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Aviamotornaya_%28Kalininsko%E2%80%93Solntsevskaya_line%29"">Aviamotornaya (Kalininsko–Solntsevskaya line)</a>",37.7191,55.7524,0
Avtozavodskaya (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Avtozavodskaya_%28Moscow_Central_Circle%29"">Avtozavodskaya (Moscow Central Circle)</a>",37.6636,55.7066,0
Avtozavodskaya (Zamoskvoretskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Avtozavodskaya_%28Zamoskvoretskaya_line%29"">Avtozavodskaya (Zamoskvoretskaya line)</a>",37.6576,55.7074,0
Babushkinskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Babushkinskaya"">Babushkinskaya</a>",37.6644,55.8694,0
Bagrationovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Bagrationovskaya"">Bagrationovskaya</a>",37.4977,55.7438,0
Baltiyskaya (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Baltiyskaya_%28Moscow_Central_Circle%29"">Baltiyskaya (Moscow Central Circle)</a>",37.4965,55.8259,0
Barrikadnaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Barrikadnaya"">Barrikadnaya</a>",37.5795,55.7612,0
Baumanskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Baumanskaya_%28Moscow_Metro%29"">Baumanskaya (Moscow Metro)</a>",37.6806,55.773,0
