name, latitude, longitude
BIS, 55.6721674, 37.571919
Brooks, 55.8480426, 37.6315587
Cambridge Festivalnaya, 55.855732,37.4714902
Cambridge Skolkovo, 55.6910699,37.3967724
Cambridge Школа, 55.734072, 37.6107227
EIS SW, 55.6676251, 37.5041174
EIS, 55.7333442, 37.4300145
Hikson, 55.674881, 37.5743583
ESS, 55.769409, 37.7105014
МШЗД, 55.633155, 37.6068072
Lyceum, 55.783358, 37.6588083
Algoritme, 55.7660946, 37.6020359
Anglo-American, 55.827196, 37.3916011
English nursery, 55.727318, 37.5246629
Embassy of India, 55.7468749, 37.5612344
Britannia, 55.8446249, 37.3034005
Heritage, 55.680903, 37.5280854
Deutsche, 55.6644322, 37.4253077
Italo Calvino, 55.6830954, 37.5317786
