name, latitude, longitude
Park Ostankino, 55.8293, 37.6103
Ekaterininsky Park, 59.9926, 29.7820
Zaryadye Park, 55.7515, 37.6288
Izmailovsky Park, 55.7718, 37.7539
Neskuchny Garden, 55.7156, 37.5863
Gorky Central Park, 55.7284, 37.6013
Park Novodevich'i Prudy, 55.7283, 37.5540
Sokolniki Park, 55.7945, 37.6765
Park Pokrovskoe-Streshnevo, 55.8258, 37.4718
Park Sadovniki, 55.6624, 37.6528
Park 50th Anniversary of October, 55.6830, 37.5039
apanese Garden, 55.8445, 37.6153
Park Nikulino, 55.6579, 37.4794
Tagansky Park, 55.7378, 37.6695
Muzeon Park of Arts, 55.7341, 37.6068
Delegatskiy park, 55.7764, 37.6102
Brateyevskiy Kaskadnyy Park, 55.6386, 37.7271
National Park «Elk Island», 55.8662, 37.8327
Filovskiy Park, 55.7382, 37.4517
Park Izmaylovo, 55.7778, 37.7925
Park 50-letiya Oktyabrya, 55.6864, 37.4886
Park Dubki, 55.7167, 37.3939
Leningradsky park, 55.7997, 37.5126
Park Kuz'minki, 55.6882, 37.7912
Lyublino Park, 55.6889, 37.7464
Bauman Garden, 55.7664, 37.6600
Babushkinskiy Park Kul'tury, 55.8667, 37.6825
Park I Sportgorodok, 55.7804, 37.4987
Park Druzhby, 55.8528, 37.4817
Park Malevicha, 55.7368, 37.3007
Lefortovo Park, 55.7647, 37.6910
Alexander Garden, 55.7522, 37.6136
Husky-Park, 55.8153, 37.6768
